ticker,market,isin,status,signal_type,dominant_timeframe,dominant_length,dominant_average_type,dominant_direction,latest_close,previous_close,dominant_value_latest,dominant_value_previous,score,bounce_count,bars_streak,message,error
2914.T,Tokyo Stock Exchange,,no_signal,,Biweekly,50,SMA,support,6075.0,5973.0,4684.7281,4646.1123,238.0,10,138,2914.T: no break on dominant Biweekly 50SMA support.,
TRP,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Weekly,50,EMA,support,67.7,69.39,58.5894,58.2175,292.0,18,112,TRP: no break on dominant Weekly 50EMA support.,
NU,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
0981.HK,Hong Kong Stock Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
APD,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,SMA,support,288.68,243.702,186.3598,182.0406,205.0,2,185,APD: no break on dominant Quarterly 50SMA support.,
GOLD,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
IMO,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,EMA,support,121.29,118.1314,90.6498,89.3992,220.0,8,140,IMO: no break on dominant Biweekly 50EMA support.,
VALE,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
OXY,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
9433.T,Tokyo Stock Exchange,,no_signal,,Quarterly,50,SMA,support,2723.5,2668.7129,1462.3634,1419.2795,125.0,2,105,9433.T: no break on dominant Quarterly 50SMA support.,
TDG,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,1258.3199,1159.98,986.0662,971.7303,293.0,5,243,TDG: no break on dominant Monthly 50SMA support.,
VOLV-A.ST,Nasdaq Stockholm,,no_signal,,Monthly,50,EMA,support,325.4,318.8,236.4034,232.7709,284.0,21,74,VOLV-A.ST: no break on dominant Monthly 50EMA support.,
9633.HK,Hong Kong Stock Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
LHX,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,SMA,support,343.7573,291.3705,153.2001,147.2428,188.0,1,178,LHX: no break on dominant Quarterly 50SMA support.,
LNG,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
Z74.SI,Singapore Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
DASH,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
TRV,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Weekly,50,EMA,support,307.81,304.46,284.1369,283.1706,247.0,11,137,TRV: no break on dominant Weekly 50EMA support.,
NSC,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,285.7637,286.2118,177.7524,173.3438,208.0,11,98,NSC: no break on dominant Quarterly 50EMA support.,
ROSN.ME,Moscow Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
0388.HK,Hong Kong Stock Exchange,,no_signal,,Quarterly,50,SMA,support,388.6,401.4177,243.9571,237.9941,144.0,4,104,0388.HK: no break on dominant Quarterly 50SMA support.,
APO,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,128.71,128.1795,101.9669,100.5371,175.0,6,115,APO: no break on dominant Monthly 50SMA support.,
SRE,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,89.13,95.12,75.3392,75.0398,361.0,17,191,SRE: no break on dominant Monthly 50SMA support.,
BKR,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
CNI,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,102.212,97.6995,83.4443,82.6783,126.0,1,116,CNI: no break on dominant Quarterly 50EMA support.,
DLR,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,EMA,support,179.0164,152.646,105.3293,102.3216,125.0,4,85,DLR: no break on dominant Quarterly 50EMA support.,
373220.KS,Korea Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
COR,US listing (Yahoo Finance symbol has no suffix),,signal,break_below_dominant_support,Monthly,20,EMA,support,269.36,307.3022,294.8471,297.53,313.0,23,83,COR: Break below dominant support at Monthly 20EMA.,
TEL,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,EMA,support,213.41,210.845,161.7293,159.6199,243.0,17,73,TEL: no break on dominant Monthly 50EMA support.,
PCAR,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Monthly,50,SMA,support,110.37,118.4321,86.1169,84.914,211.0,12,91,PCAR: no break on dominant Monthly 50SMA support.,
OKE,US listing (Yahoo Finance symbol has no suffix),,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
MPLX,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Biweekly,50,SMA,support,56.84,56.48,47.9481,47.5479,176.0,3,146,MPLX: no break on dominant Biweekly 50SMA support.,
WMMVF,US listing (Yahoo Finance symbol has no suffix),,no_signal,,Quarterly,50,SMA,support,3.24,3.16,2.532,2.5055,136.0,5,86,WMMVF: no break on dominant Quarterly 50SMA support.,
8002.T,Tokyo Stock Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
2259.HK,Hong Kong Stock Exchange,,no_signal,,,,,,,,,,,,,No dominant support or resistance level found.,
